source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
25963,33.4,1.0,3.84,1.32,0.95,0.81,0.2,0.2,0.2,,0.092,0.03,0.13,0.44,0.01,0.01,0.01,3.52,24.0,0.02,0.64,0.51,0.16,0.026,0.02,0.013,0.026,0.033,0.099,0.33,423.0,0.27,20.0
25964,34.8,0.72,5.31,1.07,0.85,1.07,0.2,0.2,0.2,,0.057,0.01,0.075,0.23,0.01,0.01,0.01,0.7,12.0,0.02,0.71,0.23,0.075,0.01,0.01,0.01,0.01,0.057,0.036,0.56,446.0,0.11,20.0
25965,56.7,2.68,6.25,1.98,0.7,1.02,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,
25967,32.8,0.65,3.38,1.62,1.13,2.32,1.12,0.2,0.2,,0.059,0.02,0.14,0.01,0.01,0.01,0.01,,11.0,0.04,0.27,,0.16,0.003,0.01,0.01,0.01,0.01,0.01,0.21,468.0,0.11,20.0
25968,133.0,4.6,4.7,10.4,0.98,2.9,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,
25969,37.4,1.27,4.5,1.37,1.05,1.6,0.4,0.15,0.11,,0.085,0.03,0.11,0.39,0.005,0.0087,0.011,7.47,27.8,0.04,0.57,0.54,0.18,0.022,0.014,0.0096,0.018,0.023,0.074,0.29,454.0,0.27,16.5
25972,17.1,1.38,2.18,0.5,1.29,0.69,0.69,0.2,0.2,,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,,18.0,0.06,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,661.0,0.19,70.0
8601,116.0,20.4,0.3,3.68,1.5,,0.2,0.2,0.2,,0.57,0.011,0.086,1.0,,,,119.0,23.0,,1.29,1.12,0.18,0.0032,0.0032,0.0034,0.0032,0.0052,0.071,0.63,,1.1,6.0
8602,112.0,18.4,0.7,3.62,1.1,0.5,,,,,,,,,,,,,23.6,,2.1,,,,,,,,,,,0.9,
8612,94.1,15.7,0.6,3.2,1.43,0.4,0.2,,0.2,,0.65,0.02,0.1,1.28,,,0.01,,,,1.64,1.28,0.14,0.01,0.01,0.01,0.01,0.01,0.1,0.89,751.0,,
25001,113.0,15.4,3.1,4.0,1.25,0.3,0.2,0.2,0.2,,0.5,0.02,0.21,1.18,0.03,0.01,0.01,56.6,15.0,0.07,2.03,1.36,0.26,0.06,0.04,0.02,0.04,0.06,0.25,1.0,432.0,0.92,20.0
