source_id,calories_kcal,proteines_g,glucides_g,lipides_g
25503,206,6.72,13.4,13.8
25508,290,8.46,25.7,16.7
25551,238,18.7,10,13.5
25557,255,10.4,12.3,18.1
25558,342,10.4,33.5,17
25559,215,3.25,19.6,13.4
25578,301,8.39,26.1,17.8
25580,249,6.42,18.4,16.3
25582,197,8.06,20.9,8.1
25583,237,6.88,22.6,12.7
25584,213,7.44,23.7,9.2
26266,258,8.92,22,14.5
13004,205,1.56,0.83,20.6
20004,16.4,1,1.63,0.5
20009,40.2,0.63,7.59,0.5
20010,21.7,2.37,1.88,0.23
20012,,1.48,2.4,0.25
20014,30,1.13,4.33,0.5
20016,26.2,1.81,2.13,0.7
20019,15.6,0.64,2.54,0.11
20020,16.5,1.23,1.8,0.26
20022,,2.09,0.9,0.15
20023,17.6,0.63,2.41,0.5
20026,20.2,1.19,2.83,0.5
20028,21.8,1,2.63,0.5
20031,,1.3,1.33,0.2
20034,,1.1,6.25,0.62
20038,,2.91,6.1,0.85
20039,32.3,1.49,4.9,0.25
20041,,0.8,4.55,0.27
20044,,1,3.5,0.1
20045,14.5,0.94,1.53,0.5
20047,19.3,0.86,2.49,0.26
20052,,3.2,4.92,0.18
20053,,1.12,2.39,0.14
20054,,0.7,1.7,0.1
20055,29.3,1.38,3.98,0.5
20056,28,2.62,3.15,0.36
20057,,3.95,1.7,0.48
20058,,3.98,5.67,0.4
20059,,2.62,2.25,0.5
20061,,1.85,4.14,0.21
20064,,0.76,4.7,0.1
20065,,1.79,2.35,0.1
20069,,2.53,1.92,0.41
20070,34,1.97,4.35,0.17
20072,,5.84,7,0.55
20073,,2.04,2.4,0.21
20082,,2.09,2.64,0.37
20083,,2.87,0.89,0.49
20084,,5.86,8.77,0.44
20085,26,0.81,3.43,0.5
20087,36.6,1.06,5.98,0.5
20089,29.2,0.94,5.52,0.3
20090,,1.25,0.3,0.2
20091,,1.74,9.1,0.24
20097,63.6,1.81,12.2,0.5
20099,16.8,2,0.5,0.5
20101,65.1,2.26,5.71,2.65
20103,33.1,2.28,2.3,0.78
20105,24.5,3.16,0.1,0.54
20106,,5.77,,0.51
20108,,3.36,17,1.19
20111,,1.84,1.6,0.65
20114,25.5,3.06,1.5,0.36
20116,36.5,1.38,4.63,0.6
20119,,1.2,4,0.2
20123,17.9,1.25,1.78,0.5
20126,105,6.84,15.3,0.86
20128,,0.55,4.6,0.1
20132,,0.63,3.1,0.1
20134,,1.4,9.98,0.6
20136,,0.75,5.98,0.13
