id,source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
3174,25957,105.00,0.42,3.95,0.80,0.19,0.31,0.42,,,,,,,,,308,,,,,,,,,,,,,,,,,
3175,25958,143.00,1.00,5.40,0.80,0.6,0.9,0.5,,,,,,,,,310,,,,,,,,,,,,,,,0.25,30,
3176,25962,210.00,1.34,5.09,2.51,0.93,1.62,1.58,,,,,,,,,268,,,,,,,,,,11,,,,,0.3,30,
3177,25963,140.00,1.00,3.84,1.32,1.05,0.81,0.64,0.51,0.16,,24,0.27,7.1,24,120,280,0.18,0.02,,20,21,177,0.25,0.28,16.5,9,0.17,0.042,0.53,0.22,0.25,27.5,
3178,25964,146.00,0.72,5.31,1.07,0.54,1.07,0.71,0.23,0.075,,12,0.11,3,15,50,264,0.09,0.02,,20,21,10.5,0.25,0.18,2.82,6.15,0.05,0.014,0.15,0.072,0.033,7.6,
3179,25965,238.00,2.68,6.25,1.98,1.6,1.02,0.67,,,,,,,,,279,,,,,,,,,,,,,,,,,
3180,25967,137.00,0.65,3.38,1.62,1.04,2.32,0.27,,0.16,,11,0.11,8.9,25,210,293,0.1,0.04,,20,,291,0.25,1.31,52.6,1.98,0.01,0.02,0.56,0.093,0.041,5,
3181,25968,551.00,4.60,4.70,10.40,1,2.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
3182,25969,157.00,1.27,4.50,1.37,1.02,1.6,0.57,0.54,0.18,,27.8,0.27,7.19,24.9,108,296,0.18,0.04,,16.5,15.2,1090,,0.48,6.98,5.04,0.05,0.036,0.49,0.23,0.1,15.8,0.24
3183,25972,72.40,1.38,2.18,0.50,0.5,0.69,0.0098,0.0098,0.0098,,18,0.19,6.9,19,49,438,0.11,0.06,,70,,,0.25,0.26,1.15,,0.015,0.01,0.1,0.068,0.01,16.5,1.98
3184,8601,487.00,20.40,0.30,3.68,0,,1.29,1.12,0.18,,23,1.1,6.4,,42.5,423,0.64,,,6,,,,0.47,,0,0.02,,0.37,0.42,0.023,,1.2
3185,8602,469.00,18.40,0.70,3.62,1.25,0.5,2.1,,,,23.6,0.9,6.6,,34.6,421,2.1,,,,,,,,,,,,,,,,
3186,8612,396.00,15.70,0.60,3.20,0,0.4,1.64,1.28,0.14,,,,,,,492,,,,,,,,,,,,,,,,,
3187,25001,474.00,15.40,3.10,4.00,0.8,0.3,2.03,1.36,0.26,,15,0.92,12,110,190,295,3.2,0.07,,20,21,736,0.25,0.37,2.55,0.5,0.062,0.047,1.77,0.33,0.074,23.3,1.59
3188,25033,355.00,8.93,4.17,3.30,1.25,1.57,0.88,1.18,0.44,,16.9,1.75,13.3,215,230,354,2.91,0.053,,3.8,10,,0.5,0.6,,0.8,0.07,0.1,2.3,0.3,0.23,11,0.6
3189,25035,,10.50,,13.90,1,,6.7,,,,17.5,2.15,13.3,181,200,514,2.77,0.07,,,,,,,,,,,,,,,
3190,25058,605.00,9.55,10.20,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3191,25063,453.00,14.90,0.50,5.00,0.8,0.5,2.1,,,,,,,,,480,,,,,,,,,,,,,,,,,
3192,25121,555.00,13.00,4.00,7.00,0.9,1,1,3.87,1.75,,14,1.3,16,128,145,420,0.21,0.03,,3.3,,0,0.04,0.48,,1.5,0.07,0.19,3.7,0.74,0.17,31,1.4
